type,x,y,z,electrode,distance
Electrode,-55.8358,-58.416183,11.525081,P7,11.6440209194754
Electrode,-56.523209,-63.428078,32.360542,P5,13.7906560238182
Electrode,-48.155533,-69.345978,48.739407,P3,14.7217865055899
Electrode,-25.092449,-74.50164,59.626408,P1,17.9570104353691
Electrode,-3.731333,-69.89312,61.383099,Pz,22.3633165528806
Electrode,-41.198757,-79.769562,17.01576,PO7,11.8448781327505
Electrode,-33.715607,-85.119278,36.50948,PO3,13.537876904748
Electrode,-3.139934,-86.289177,39.812584,POz,18.7562160112919
Electrode,-19.557001,-92.099251,14.143392,O1,10.9475347415716
Electrode,3.381567,-91.471756,17.399466,Oz,12.3933302607555
Electrode,-54.241009,-59.846092,22.504791,P7,15.1307959182407
Electrode,-51.928822,-61.313633,49.614983,P5,15.4567198264939
Electrode,-39.928925,-66.752281,68.42308,P3,16.1024409007404
Electrode,-28.96497,-68.282265,78.230011,P1,15.4656489634122
Electrode,-8.387201,-75.351204,77.179512,Pz,16.0334346078863
Electrode,-40.459862,-78.688072,22.562275,PO7,16.5172971713814
Electrode,-30.31815,-83.24678,51.205574,PO3,15.2674659068749
Electrode,-3.725213,-85.436409,60.256691,POz,15.4396725865463
Electrode,-23.154831,-92.417175,29.14414,O1,14.2721619358154
Electrode,-5.895807,-93.647568,31.610271,Oz,14.3536810893134
Electrode,-59.107632,-58.930508,16.910608,P7,12.4444674271231
Electrode,-51.694969,-68.829796,38.249081,P5,14.3188696875926
Electrode,-44.338387,-71.649826,57.617748,P3,14.6845942644352
Electrode,-19.32873,-76.905731,72.518326,P1,16.642128663553
Electrode,-4.022731,-79.139671,70.148613,Pz,19.807966871749
Electrode,-43.701565,-83.126534,19.64595,PO7,12.0777423912311
Electrode,-32.855888,-88.847084,43.026909,PO3,13.3499935238158
Electrode,-4.211177,-93.95118,51.54398,POz,12.8121673032429
Electrode,-26.918797,-96.186966,23.852547,O1,11.537355389193
Electrode,-11.358796,-101.994865,26.367983,Oz,11.9435793037581
Electrode,-60.228916,-58.712456,21.340349,P7,12.4557943410347
Electrode,-58.650455,-63.444344,46.857189,P5,11.971743280114
Electrode,-51.059673,-67.818565,62.342724,P3,13.039566508464
Electrode,-29.468302,-71.418739,76.367226,P1,14.2484041403042
Electrode,-2.01495,-68.857697,82.095184,Pz,14.7782613567264
Electrode,-48.234344,-73.614853,26.851854,PO7,14.1191245529577
Electrode,-38.402031,-79.74395,48.317795,PO3,13.8864552342173
Electrode,-5.509888,-85.698318,49.919456,POz,13.4547168999875
Electrode,-25.380325,-88.413834,27.174185,O1,12.9349035190247
Electrode,-7.778227,-88.637352,29.979128,Oz,14.7057337309188
Electrode,-55.032181,-56.128349,31.430538,P7,14.2773163413855
Electrode,-49.859657,-61.260944,54.847965,P5,14.7061210929288
Electrode,-40.35334,-70.764793,64.35849,P3,14.420516478646
Electrode,-20.123228,-69.437653,78.378754,P1,14.9732566840968
Electrode,-4.103295,-66.420586,82.856384,Pz,20.2557433590295
Electrode,-42.367603,-80.717491,33.251068,PO7,11.6156733972557
Electrode,-28.707367,-83.806137,53.944828,PO3,16.3794117117272
Electrode,2.168698,-87.73011,52.619339,POz,16.9970847442261
Electrode,-20.337126,-95.638535,30.932415,O1,11.4169831510327
Electrode,-1.411626,-97.061104,35.061287,Oz,11.9420765067358
Electrode,-53.643997,-65.672058,9.039442,P7,13.7170232943206
Electrode,-51.607819,-74.729225,30.78894,P5,13.6510692990842
Electrode,-46.996029,-77.11927,44.142319,P3,15.5212247141391
Electrode,-20.467449,-83.991173,58.088245,P1,23.4570361961084
Electrode,-7.132003,-83.543312,60.402802,Pz,24.4171311927991
Electrode,-41.053802,-86.340279,10.579554,PO7,14.7187642649977
Electrode,-29.962976,-95.174965,18.693993,PO3,17.3004365675738
Electrode,-3.911937,-100.070114,25.137854,POz,24.1885325183897
Electrode,-19.749191,-101.544022,5.838906,O1,14.0419816972409
Electrode,-1.826234,-103.546143,11.165341,Oz,16.1133141737086
Electrode,-54.936249,-71.453117,13.364101,P7,12.6639013710796
Electrode,-52.923523,-74.69725,38.657688,P5,12.3575446530478
Electrode,-42.923038,-80.792885,55.620178,P3,12.8327514298784
Electrode,-23.844967,-85.489838,64.531921,P1,18.8017318258695
Electrode,-9.47052,-81.736275,71.349335,Pz,20.0708700730173
Electrode,-43.08646,-88.938484,13.569064,PO7,12.1553479208129
Electrode,-26.998835,-97.26635,39.776306,PO3,13.3438303329929
Electrode,5.015413,-99.772324,44.83849,POz,16.0666128502152
Electrode,-19.767708,-105.649986,16.601812,O1,10.4259414224951
Electrode,6.363109,-106.925446,18.155952,Oz,12.2170434093373
Electrode,-55.38448,-60.418205,14.637985,P7,11.4192336853369
Electrode,-48.485012,-68.083366,39.047039,P5,14.2624462853078
Electrode,-39.951641,-63.60289,61.50626,P3,15.132502471765
Electrode,-19.885677,-68.892776,72.565727,P1,11.7011058439656
Electrode,7.011306,-66.984001,79.453407,Pz,14.2511562875074
Electrode,-37.689079,-83.237,15.970382,PO7,11.0054481798118
Electrode,-26.59831,-85.84346,39.794041,PO3,11.0433659702082
Electrode,-4.495485,-83.53244,52.402222,POz,14.1682244307683
Electrode,-20.395931,-92.975342,17.634476,O1,10.8336584229243
Electrode,-2.069917,-95.40773,20.730066,Oz,11.4230864291648
Electrode,-59.634876,-54.257923,22.160904,P7,12.4871683893199
Electrode,-57.146641,-62.416271,48.552647,P5,10.81065819567
Electrode,-44.074448,-67.976128,67.569374,P3,10.9724236084673
Electrode,-21.884411,-74.705505,76.351463,P1,12.0194955508628
Electrode,-7.899931,-72.704491,81.663948,Pz,15.7993025348053
Electrode,-46.969494,-81.038506,23.670231,PO7,9.95470975640341
Electrode,-32.03738,-86.009186,48.105518,PO3,11.5229983698637
Electrode,-8.279082,-89.627602,51.093494,POz,16.0567249067787
Electrode,-25.213331,-95.372025,26.89176,O1,10.7824690322479
Electrode,2.725179,-98.167145,25.230312,Oz,13.1472180741498
Electrode,-58.826706,-59.366825,7.181103,P7,15.0156758167429
Electrode,-51.361256,-73.130798,29.053385,P5,15.9558050289464
Electrode,-42.472591,-78.360481,43.435558,P3,17.6919470737057
